2_cl45_phi1M2-2	NC_025471.1|YP_009104265.1_28|[Idiomarinaceae_phage_Phi1M2-2]virion_structural_protein|16209..16694|161	1.000	161	0	0	1	161	1	161	2.312E-23	990
2_cl45_phi1M2-2	NC_016762.1|YP_005098084.1_57|[Pseudomonas_phage_phi297]virion_structural_protein|37368..37835|155	0.262	160	110	0	1	160	1	150	2.096E-10	480
2_cl45_phi1M2-2	NC_074664.1|YP_010773482.1_14|[Pseudomonas_phage_BUCT566]hypothetical_protein|10993..11460|155	0.268	160	109	0	1	160	1	150	2.356E-10	478
2_cl45_phi1M2-2	NC_054638.1|YP_010053258.1_48|[Salmonella_phage_vB_SenS_SB28]hypothetical_protein|24344..24814|156	0.272	161	111	0	1	161	2	155	3.346E-10	472
2_cl45_phi1M2-2	NC_074663.1|YP_010773399.1_9|[Pseudomonas_phage_vB_Pae_LC3I3]hypothetical_protein|6635..7102|155	0.268	160	109	0	1	160	1	150	3.548E-10	471
2_cl45_phi1M2-2	NC_030929.1|YP_009275521.1_34|[Pseudomonas_phage_JBD44]virion_structural_protein|21460..21927|155	0.268	160	109	0	1	160	1	150	3.548E-10	471
2_cl45_phi1M2-2	NC_054648.1|YP_010054082.1_62|[Salmonella_phage_vB_Se_STGO-35-1]minor_tail_protein|29548..30021|157	0.293	161	108	0	1	161	3	156	4.229E-10	468
2_cl45_phi1M2-2	NC_054647.1|YP_010053951.1_16|[Salmonella_phage_Akira]hypothetical_protein|complement(13949..14422)|157	0.295	160	107	0	1	160	3	155	4.754E-10	466
2_cl45_phi1M2-2	NC_020846.1|YP_007674000.1_38|[Vibrio_phage_pYD21-A]virion_structural_protein|24843..25325|160	0.312	155	105	0	3	155	5	159	5.344E-10	464
2_cl45_phi1M2-2	NC_054642.1|YP_010053565.1_32|[Salmonella_phage_Seszw_1]hypothetical_protein|17534..18007|157	0.289	160	108	0	1	160	3	155	5.665E-10	463
2_cl45_phi1M2-2	NC_031924.1|YP_009322780.1_67|[Salmonella_phage_IME207]hypothetical_protein|28806..29282|158	0.289	160	108	0	1	160	3	155	6.369E-10	461
2_cl45_phi1M2-2	NC_071146.1|YP_010685295.1_37|[Klebsiella_phage_vB_KpnS_MK54]minor_tail_protein|19423..19893|156	0.296	160	107	0	2	161	3	155	7.159E-10	459
2_cl45_phi1M2-2	NC_054637.1|YP_010053153.1_29|[Escherichia_phage_vB_EcoS_Sa179lw]hypothetical_protein|15910..16383|157	0.299	161	107	0	1	161	3	156	7.159E-10	459
2_cl45_phi1M2-2	NC_054651.1|YP_010054281.1_6|[Escherichia_phage_C1]hypothetical_protein|complement(6554..7027)|157	0.287	161	109	0	1	161	3	156	7.159E-10	459
2_cl45_phi1M2-2	NC_054650.1|YP_010054212.1_16|[Shigella_phage_DS8]hypothetical_protein|8852..9325|157	0.293	161	108	0	1	161	3	156	7.590E-10	458
2_cl45_phi1M2-2	NC_048198.1|YP_009824047.1_17|[Erwinia_phage_vB_EhrS_59]hypothetical_protein|14104..14601|165	0.272	155	102	0	1	141	1	155	7.590E-10	458
2_cl45_phi1M2-2	NC_019927.1|YP_007237618.1_44|[Cronobacter_phage_ENT47670]hypothetical_protein|46209..46706|165	0.273	153	102	0	1	141	3	155	8.048E-10	457
2_cl45_phi1M2-2	NC_071152.1|YP_010685763.1_30|[Klebsiella_phage_VLCpiS13a]virion_structural_protein|17455..17925|156	0.278	160	110	0	2	161	3	155	1.078E-09	452
2_cl45_phi1M2-2	NC_054639.1|YP_010053346.1_63|[Salmonella_phage_Skate]hypothetical_protein|28397..28873|158	0.283	160	109	0	1	160	3	155	1.143E-09	451
2_cl45_phi1M2-2	NC_010495.1|YP_001742072.1_35|[Salmonella_phage_Vi_II-E1]hypothetical_protein|24365..24835|156	0.289	160	108	0	1	160	2	154	1.212E-09	450
2_cl45_phi1M2-2	NC_071153.1|YP_010685868.1_57|[Klebsiella_phage_BUCT610]hypothetical_protein|27338..27808|156	0.290	160	108	0	2	161	3	155	1.285E-09	449
2_cl45_phi1M2-2	NC_031918.1|YP_009322249.1_52|[Salmonella_phage_64795_sal3]hypothetical_protein|27290..27772|160	0.278	159	109	0	2	160	7	158	1.532E-09	446
2_cl45_phi1M2-2	NC_071149.1|YP_010685562.1_68|[Klebsiella_phage_vB_Kpn_ZCKp20p]baseplate_wedge_protein|32709..33179|156	0.296	160	107	0	2	161	3	155	1.722E-09	444
2_cl45_phi1M2-2	NC_071156.1|YP_010686107.1_56|[Klebsiella_phage_6991]hypothetical_protein|28567..29037|156	0.296	160	107	0	2	161	3	155	1.722E-09	444
2_cl45_phi1M2-2	NC_071150.1|YP_010685647.1_69|[Klebsiella_phage_ZCKP8]minor_tail_protein|32402..32872|156	0.296	160	107	0	2	161	3	155	1.722E-09	444
2_cl45_phi1M2-2	NC_071151.1|YP_010685719.1_57|[Klebsiella_phage_vB_Kpn_ZC2]minor_tail_protein|32717..33187|156	0.296	160	107	0	2	161	3	155	1.722E-09	444
2_cl45_phi1M2-2	NC_071157.1|YP_010686190.1_59|[Klebsiella_phage_VLCpiS13c]virion_structural_protein|complement(35238..35708)|156	0.290	160	108	0	2	161	3	155	1.935E-09	442
2_cl45_phi1M2-2	NC_002484.2|NP_061517.1_20|[Pseudomonas_phage_D3]virion_structural_protein|13793..14272|159	0.250	160	115	0	1	160	1	154	1.935E-09	442
2_cl45_phi1M2-2	NC_016765.1|YP_005098223.1_20|[Pseudomonas_phage_PMG1]virion_structural_protein|13837..14316|159	0.250	160	115	0	1	160	1	154	1.935E-09	442
2_cl45_phi1M2-2	NC_054643.1|YP_010053681.1_76|[Salmonella_phage_SeSz-2]hypothetical_protein|39846..40316|156	0.289	160	108	0	1	160	2	154	2.052E-09	441
2_cl45_phi1M2-2	NC_071155.1|YP_010686024.1_52|[Klebsiella_phage_VLCpiS13b]virion_structural_protein|26421..26891|156	0.299	161	108	0	1	161	1	155	2.052E-09	441
2_cl45_phi1M2-2	NC_054641.1|YP_010053509.1_61|[Salmonella_virus_KFS-SE2]hypothetical_protein|complement(34627..35097)|156	0.271	160	111	0	1	160	2	154	2.052E-09	441
2_cl45_phi1M2-2	NC_071142.1|YP_010684975.1_52|[Klebsiella_phage_VLCpiS13d]virion_structural_protein|25572..26042|156	0.296	160	107	0	2	161	3	155	2.052E-09	441
2_cl45_phi1M2-2	NC_042037.1|YP_009614658.1_62|[Aeromonas_phage_pIS4-A]hypothetical_protein|32456..32926|156	0.296	160	107	0	2	161	3	155	2.176E-09	440
2_cl45_phi1M2-2	NC_021534.1|YP_008126232.1_68|[Vibrio_phage_pYD38-A]hypothetical_protein|complement(39512..39982)|156	0.296	160	107	0	2	161	3	155	2.176E-09	440
2_cl45_phi1M2-2	NC_071143.1|YP_010685006.1_3|[Flyfo_siphovirus_Tbat1_6]hypothetical_protein|3131..3601|156	0.296	160	107	0	2	161	3	155	2.176E-09	440
2_cl45_phi1M2-2	NC_070846.1|YP_010657369.1_2|[Salmonella_phage_LPSTLL]hypothetical_protein|1594..2067|157	0.283	160	109	0	1	160	2	154	2.593E-09	437
2_cl45_phi1M2-2	NC_011373.1|YP_002284353.1_19|[Pseudomonas_phage_PAJU2]virion_structural_protein|14682..15146|154	0.247	161	115	0	1	161	1	154	2.749E-09	436
2_cl45_phi1M2-2	NC_054649.1|YP_010054112.1_4|[Escherichia_phage_vB_EcoS_swi2]hypothetical_protein|complement(5668..6141)|157	0.257	159	112	0	3	161	5	156	2.915E-09	435
2_cl45_phi1M2-2	NC_071003.1|YP_010675369.1_21|[Enterobacter_phage_vB_EclS_CobraSix]hypothetical_protein|14964..15461|165	0.288	131	91	0	1	129	3	133	3.090E-09	434
